time,supply_temp,Speed,occupancy
14.11.2020 15:27:26,45.9,189,2
14.11.2020 15:27:27,46.1,196,2
14.11.2020 15:27:28,46.2,192,2
14.11.2020 15:27:29,46.3,188,2
14.11.2020 15:27:30,46.4,190,2
14.11.2020 15:27:31,46.6,188,2
14.11.2020 15:27:32,46.4,162,2
14.11.2020 15:27:33,46.3,158,2
14.11.2020 15:27:34,46.1,140,2
14.11.2020 15:27:35,46,136,2
14.11.2020 15:27:36,45.9,139,2
14.11.2020 15:27:37,45.9,134,2
14.11.2020 15:27:38,45.9,129,2
14.11.2020 15:27:39,45.8,132,2
14.11.2020 15:27:40,45.8,130,2
14.11.2020 15:27:41,45.9,129,2
14.11.2020 15:27:42,46,145,2
14.11.2020 15:27:43,46,135,2
14.11.2020 15:27:44,45.9,127,2
14.11.2020 15:27:45,46,128,2
14.11.2020 15:27:46,46,132,2
14.11.2020 15:27:47,46,129,2
14.11.2020 15:27:48,46.1,129,2
14.11.2020 15:27:49,46.1,129,2
14.11.2020 15:27:50,46.1,129,2
14.11.2020 15:27:51,46.1,126,2
14.11.2020 15:27:52,46.1,130,2
14.11.2020 15:27:53,46.1,125,2
14.11.2020 15:27:54,46.1,131,2
14.11.2020 15:27:55,46.2,133,2
14.11.2020 15:27:56,46.2,134,2
14.11.2020 15:27:57,46.5,147,2
14.11.2020 15:27:58,46.6,151,2
14.11.2020 15:27:59,46.6,139,2
14.11.2020 15:28:00,46.5,131,2
14.11.2020 15:28:01,46.6,136,2
14.11.2020 15:28:02,46.6,135,2
14.11.2020 15:28:03,46.6,139,2
14.11.2020 15:28:04,46.9,156,2
14.11.2020 15:28:05,47,151,2
14.11.2020 15:28:06,47,137,2
14.11.2020 15:28:07,46.9,128,2
14.11.2020 15:28:08,46.8,128,2
14.11.2020 15:28:09,46.8,128,2
14.11.2020 15:28:10,46.8,123,2
14.11.2020 15:28:11,46.8,123,2
14.11.2020 15:28:12,46.9,127,2
14.11.2020 15:28:13,47,129,2
14.11.2020 15:28:14,47,129,2
14.11.2020 15:28:15,47,125,2
14.11.2020 15:28:16,47.1,132,2
14.11.2020 15:28:17,47.2,147,2
14.11.2020 15:28:18,47.4,158,2
14.11.2020 15:28:19,47.5,150,2
14.11.2020 15:28:20,47.6,145,2
14.11.2020 15:28:21,47.5,134,2
14.11.2020 15:28:22,47.4,127,2
14.11.2020 15:28:23,47.4,128,2
14.11.2020 15:28:24,47.4,129,2
14.11.2020 15:28:25,47.4,129,2
14.11.2020 15:28:26,47.5,133,2
14.11.2020 15:28:27,47.5,130,2
14.11.2020 15:28:28,47.6,137,2
14.11.2020 15:28:29,47.6,132,2
14.11.2020 15:28:30,47.7,133,2
14.11.2020 15:28:31,47.8,139,2
14.11.2020 15:28:32,47.9,145,2
14.11.2020 15:28:33,47.9,135,2
14.11.2020 15:28:34,47.9,135,2
14.11.2020 15:28:35,47.9,137,2
14.11.2020 15:28:36,47.9,132,2
14.11.2020 15:28:37,47.9,132,2
14.11.2020 15:28:38,47.9,134,2
14.11.2020 15:28:39,47.9,135,2
14.11.2020 15:28:40,48,132,2
14.11.2020 15:28:41,48.1,142,2
14.11.2020 15:28:42,48.2,136,2
14.11.2020 15:28:43,48.2,133,2
14.11.2020 15:28:44,48.1,125,2
14.11.2020 15:28:45,48.2,128,2
14.11.2020 15:28:46,48.1,124,2
14.11.2020 15:28:47,48.2,131,2
14.11.2020 15:28:48,48.3,134,2
14.11.2020 15:28:49,48.4,136,2
14.11.2020 15:28:50,48.4,134,2
14.11.2020 15:28:51,48.4,127,2
14.11.2020 15:28:52,48.5,134,2
14.11.2020 15:28:53,48.5,135,2
14.11.2020 15:28:54,48.5,128,2
14.11.2020 15:28:55,48.5,131,2
14.11.2020 15:28:56,48.5,127,2
14.11.2020 15:28:57,48.5,132,2
14.11.2020 15:28:58,48.5,127,2
14.11.2020 15:28:59,48.6,129,2
14.11.2020 15:29:00,48.6,130,2
14.11.2020 15:29:01,48.6,127,2
14.11.2020 15:29:02,48.6,129,2
14.11.2020 15:29:03,48.6,123,2
14.11.2020 15:29:04,48.7,125,2
14.11.2020 15:29:05,48.7,130,2
14.11.2020 15:29:06,48.8,134,2
14.11.2020 15:29:07,48.9,133,2
14.11.2020 15:29:08,49,134,2
14.11.2020 15:29:09,49,134,2
14.11.2020 15:29:10,49,131,2
14.11.2020 15:29:11,49,126,2
14.11.2020 15:29:12,49.1,132,2
14.11.2020 15:29:13,49.1,136,2
14.11.2020 15:29:14,49.1,136,2
14.11.2020 15:29:15,49.1,132,2
14.11.2020 15:29:16,49.2,132,2
14.11.2020 15:29:17,49.2,131,2
14.11.2020 15:29:18,49.2,131,2
14.11.2020 15:29:19,49.2,133,2
14.11.2020 15:29:20,49.3,137,2
14.11.2020 15:29:21,49.2,133,2
14.11.2020 15:29:22,49.3,127,2
14.11.2020 15:29:23,49.3,125,2
14.11.2020 15:29:24,49.4,135,2
14.11.2020 15:29:25,49.5,135,2
14.11.2020 15:29:26,49.6,134,2
14.11.2020 15:29:27,49.5,130,2
14.11.2020 15:29:28,49.7,137,2
14.11.2020 15:29:29,49.6,131,2
14.11.2020 15:29:30,49.6,134,2
14.11.2020 15:29:31,49.7,129,2
14.11.2020 15:29:32,49.7,127,2
14.11.2020 15:29:33,49.7,132,2
14.11.2020 15:29:34,49.7,136,2
14.11.2020 15:29:35,49.7,136,2
14.11.2020 15:29:36,49.8,138,2
14.11.2020 15:29:37,49.9,135,2
14.11.2020 15:29:38,49.9,129,2
14.11.2020 15:29:39,50.1,149,2
14.11.2020 15:29:40,50.3,165,2
14.11.2020 15:29:41,50.4,154,2
14.11.2020 15:29:42,50.3,141,2
14.11.2020 15:29:43,50.4,150,2
14.11.2020 15:29:44,50.5,147,2
14.11.2020 15:29:45,50.4,142,2
14.11.2020 15:29:46,50.4,143,2
14.11.2020 15:29:47,50.7,174,2
14.11.2020 15:29:48,50.9,174,2
14.11.2020 15:29:49,50.9,162,2
14.11.2020 15:29:50,50.8,149,2
14.11.2020 15:29:51,50.7,140,2
14.11.2020 15:29:52,50.6,137,2
14.11.2020 15:29:53,50.8,157,2
14.11.2020 15:29:54,51,165,2
14.11.2020 15:29:55,51.1,168,2
14.11.2020 15:29:56,51,150,2
14.11.2020 15:29:57,51,143,2
14.11.2020 15:29:58,50.9,137,2
14.11.2020 15:29:59,50.9,141,2
14.11.2020 15:30:00,51.1,155,2
14.11.2020 15:30:01,51.1,145,2
14.11.2020 15:30:02,51,140,2
14.11.2020 15:30:03,51,139,2
14.11.2020 15:30:04,51.2,157,2
14.11.2020 15:30:05,51.3,149,2
14.11.2020 15:30:06,51.1,134,2
14.11.2020 15:30:07,51.1,130,2
14.11.2020 15:30:08,51,128,2
14.11.2020 15:30:09,51.1,129,2
14.11.2020 15:30:10,51.1,126,2
14.11.2020 15:30:11,51.1,126,2
14.11.2020 15:30:12,51.1,124,2
14.11.2020 15:30:13,51.1,129,2
14.11.2020 15:30:14,51.3,145,2
14.11.2020 15:30:15,51.4,146,2
14.11.2020 15:30:16,51.4,134,2
14.11.2020 15:30:17,51.6,142,2
14.11.2020 15:30:18,51.5,137,2
14.11.2020 15:30:19,51.5,134,2
14.11.2020 15:30:20,51.5,130,2
14.11.2020 15:30:21,51.6,145,2
14.11.2020 15:30:22,51.7,145,2
14.11.2020 15:30:23,51.7,144,2
14.11.2020 15:30:24,51.6,137,2
14.11.2020 15:30:25,51.7,136,2
14.11.2020 15:30:26,51.6,133,2
14.11.2020 15:30:27,51.6,132,2
14.11.2020 15:30:28,51.5,126,2
14.11.2020 15:30:29,51.6,133,2
14.11.2020 15:30:30,51.6,134,2
14.11.2020 15:30:31,51.8,147,2
14.11.2020 15:30:32,51.8,136,2
14.11.2020 15:30:33,51.7,129,2
14.11.2020 15:30:34,51.8,130,2
14.11.2020 15:30:35,51.8,137,2
14.11.2020 15:30:36,51.8,136,2
14.11.2020 15:30:37,51.7,130,2
14.11.2020 15:30:38,51.7,127,2
14.11.2020 15:30:39,51.7,129,2
14.11.2020 15:30:40,51.8,132,2
14.11.2020 15:30:41,51.8,130,2
14.11.2020 15:30:42,51.8,121,2
14.11.2020 15:30:43,51.9,131,2
14.11.2020 15:30:44,51.9,136,2
14.11.2020 15:30:45,52,133,2
14.11.2020 15:30:46,52,140,2
14.11.2020 15:30:47,52,136,2
14.11.2020 15:30:48,52,132,2
14.11.2020 15:30:49,52.1,130,2
14.11.2020 15:30:50,52.1,134,2
14.11.2020 15:30:51,52.2,141,2
14.11.2020 15:30:52,52.4,146,2
14.11.2020 15:30:53,52.3,140,2
14.11.2020 15:30:54,52.2,134,2
14.11.2020 15:30:55,52.2,129,2
14.11.2020 15:30:56,52.3,132,2
14.11.2020 15:30:57,52.3,130,2
14.11.2020 15:30:58,52.4,135,2
14.11.2020 15:30:59,52.6,155,2
14.11.2020 15:31:00,52.7,148,2
14.11.2020 15:31:01,52.6,135,2
14.11.2020 15:31:02,52.6,132,2
14.11.2020 15:31:03,52.7,145,2
14.11.2020 15:31:04,52.7,140,2
14.11.2020 15:31:05,52.6,137,2
14.11.2020 15:31:06,52.7,137,2
14.11.2020 15:31:07,52.7,133,2
14.11.2020 15:31:08,52.6,129,2
14.11.2020 15:31:09,52.7,137,2
14.11.2020 15:31:10,52.7,132,2
14.11.2020 15:31:11,52.7,133,2
14.11.2020 15:31:12,52.7,130,2
14.11.2020 15:31:13,52.8,136,2
14.11.2020 15:31:14,52.8,135,2
14.11.2020 15:31:15,52.8,132,2
14.11.2020 15:31:16,52.8,128,2
14.11.2020 15:31:17,52.9,132,2
14.11.2020 15:31:18,52.8,130,2
14.11.2020 15:31:19,52.8,127,2
14.11.2020 15:31:20,52.8,130,2
14.11.2020 15:31:21,52.8,127,2
14.11.2020 15:31:22,52.9,128,2
14.11.2020 15:31:23,52.9,132,2
14.11.2020 15:31:24,52.9,129,2
14.11.2020 15:31:25,52.9,127,2
14.11.2020 15:31:26,53,128,2
14.11.2020 15:31:27,53,128,2
14.11.2020 15:31:28,53,129,2
14.11.2020 15:31:29,53,131,2
14.11.2020 15:31:30,53.1,131,2
14.11.2020 15:31:31,53.1,131,2
14.11.2020 15:31:32,53.1,129,2
14.11.2020 15:31:33,53.1,131,2
14.11.2020 15:31:34,53.2,132,2
14.11.2020 15:31:35,53.2,130,2
14.11.2020 15:31:36,53.2,133,2
